fecha,goles_local,goles_visitante,lambda_local,lambda_visitante,p_local,p_empate,p_visitante,real,pred,correcto
2026-06-21,4.0,0.0,1.7970000505447388,0.7689999938011169,0.6076,0.2429,0.147,0,0,True
2026-06-21,2.0,2.0,1.468999981880188,0.5519999861717224,0.5883,0.281,0.1299,1,0,False
2026-06-21,1.0,3.0,1.3450000286102295,1.2910000085830688,0.3713,0.2816,0.3462,2,0,False
2026-06-22,1.0,2.0,1.0470000505447388,2.3259999752044678,0.1492,0.198,0.6428,2,2,True
2026-06-22,2.0,0.0,2.378000020980835,1.406000018119812,0.5735,0.2037,0.2112,0,0,True
2026-06-22,3.0,0.0,2.259000062942505,0.14000000059604645,0.8514,0.1265,0.0136,0,0,True
2026-06-22,3.0,2.0,2.068000078201294,2.1710000038146973,0.3698,0.2107,0.4071,0,2,False
2026-06-23,0.0,1.0,1.1510000228881836,2.2679998874664307,0.1749,0.2068,0.6093,2,2,True
2026-06-23,0.0,0.0,2.0269999504089355,1.6619999408721924,0.4548,0.2266,0.3122,1,0,False
2026-06-23,5.0,0.0,2.434999942779541,0.5490000247955322,0.7728,0.1553,0.0594,0,0,True
2026-06-23,1.0,0.0,2.4549999237060547,0.6290000081062317,0.7568,0.1603,0.0699,0,0,True
2026-06-24,3.0,1.0,2.7980000972747803,1.4839999675750732,0.6209,0.1758,0.1781,0,0,True
2026-06-24,0.0,3.0,1.2890000343322754,1.2489999532699585,0.3652,0.2879,0.3462,2,0,False
2026-06-24,4.0,2.0,2.247999906539917,1.8250000476837158,0.4659,0.2123,0.3107,0,0,True
2026-06-24,1.0,0.0,0.8820000290870667,1.625,0.1943,0.2662,0.538,0,2,False
2026-06-24,1.0,2.0,1.5490000247955322,1.847000002861023,0.3173,0.2395,0.4392,2,2,True
2026-06-24,3.0,0.0,2.1670000553131104,0.9110000133514404,0.6464,0.2076,0.1391,0,0,True
2026-06-25,1.0,3.0,1.7799999713897705,2.256999969482422,0.3005,0.2123,0.4763,2,2,True
2026-06-25,0.0,2.0,1.1469999551773071,1.7230000495910645,0.2445,0.2558,0.4975,2,2,True
2026-06-25,1.0,1.0,3.5490000247955322,1.7109999656677246,0.6483,0.1377,0.1431,1,0,False
2026-06-25,0.0,0.0,1.2269999980926514,1.437000036239624,0.312,0.2782,0.4088,1,2,False
2026-06-25,2.0,1.0,1.2660000324249268,1.5920000076293945,0.2943,0.2647,0.4395,0,2,False
2026-06-25,2.0,3.0,2.049999952316284,2.427999973297119,0.3255,0.201,0.4561,2,2,True
